GeneID	Patient1	Patient2	Patient3
10147_at	5.931383865	5.82588786	5.825328548
10148_at	6.492890029	7.032024434	6.765073568
10149_at	4.939407515	5.050680545	4.570240866
1015_at	4.710489246	5.263795567	4.965369251
10150_at	5.321758687	5.338582263	5.338582263
10151_at	5.962812976	5.638407016	5.685693928
10152_at	6.181428153	6.248977102	6.092842414
10153_at	6.886737812	6.850271379	6.87401233
10154_at	6.268391893	6.030491539	5.906101382
10155_at	7.242488741	7.534938661	6.931049419
10157_at	4.440625894	4.114839456	4.667882195
10158_at	5.671093178	5.838663536	5.852467275
10159_at	6.464361975	6.51982298	6.282656106
1016_at	3.63279247	3.77131883	3.593840049
10160_at	5.980542463	6.226153923	6.007538466
10161_at	5.688840858	5.644539123	5.526272729
10162_at	3.987216299	3.80529856	3.670914524
10164_at	6.14714929	5.960921361	6.173964476
10165_at	3.53715819	3.837545884	3.824008713
10168_at	4.809442089	4.604939776	4.844280548
10169_at	8.017434536	7.833895845	8.161496584
1017_at	6.403558713	6.506770134	6.302167144
10170_at	4.378993509	4.342782701	4.463847261
10171_at	6.140748733	6.150023528	6.154737099
10174_at	6.232738389	5.943752101	6.145374391
10175_at	5.566416041	5.392860656	5.049634244
10179_at	5.343892108	5.414033459	5.155064173
1018_at	5.228707082	5.236958409	4.964434119
10180_at	3.828861364	4.090329748	3.609897974
10181_at	6.349146393	5.934885088	5.993443769
10184_at	6.305422214	6.726185004	6.701864379
10186_at	5.455165831	5.378774164	5.086589804
10188_at	6.176773021	6.269775624	6.446538122
1019_at	5.398023085	5.084257925	5.636721065
10190_at	5.521227337	5.7626224	5.758114375
10193_at	5.735715686	5.786012772	5.619691172
10195_at	6.532885896	6.67953063	6.389544608
10196_at	5.049879958	5.277885189	5.309046552
10197_at	5.141803254	5.205857118	5.310320049
10198_at	6.903585487	6.782053652	7.013054587
10199_at	3.461568727	3.904673405	3.089723392
102_at	4.421065184	4.297603404	4.344519191
1020_at	3.875797779	3.740543374	3.881273282
10200_at	4.485060184	4.25705017	4.466047844
10201_at	6.34936595	6.439722515	6.374160893
10202_at	4.829149201	4.847991351	4.799475802
10203_at	4.47333826	4.66771141	4.436301838
10205_at	7.190945959	7.284018677	7.19989654
10206_at	6.25517329	6.21320658	6.388246785
10207_at	3.683087937	3.625655996	3.629453473
10208_at	6.579112542	6.483524107	6.52657679
10209_at	4.547458637	4.496220544	4.335251066
1021_at	3.174535316	3.115187605	3.302895892
10210_at	4.452408077	4.241782513	4.241782513
10211_at	4.69454188	4.643583846	4.681171406
10212_at	7.408229717	7.158859747	7.348330062
10213_at	4.508129926	4.642574478	4.261410167
10214_at	5.861768254	5.733773765	5.443643491
10215_at	5.638436498	5.739528663	5.919478603
10216_at	6.372417812	6.564505966	6.270444216
10217_at	5.765461752	5.650043105	5.710641145
10218_at	5.956673383	6.018973992	5.628670224
10219_at	5.524899729	5.701807756	5.841237804
1022_at	6.299555735	5.827332597	6.302815376
10220_at	4.674833867	5.141400815	5.062246731
10221_at	4.496687079	4.152513255	4.144244114
10223_at	6.479109073	6.586180232	6.621645882
10225_at	4.147093233	4.223989786	4.271954587
10226_at	5.353660357	5.253671956	4.816847547
10227_at	3.63279247	3.741420719	3.5308462
10228_at	5.437549901	5.335096003	5.298796838
10229_at	5.624031608	5.726749231	5.794146138
10230_at	5.067328911	5.008245191	5.035992599
10231_at	5.645080153	5.760470818	5.268107756
10232_at	5.753398863	5.452126664	5.682674385
10233_at	2.813993218	3.509155382	3.135552935
10234_at	4.802195982	4.90095052	4.83036376
10235_at	5.613424021	5.615732361	5.313699709
10236_at	5.704026643	5.946993768	5.788691088
10237_at	4.024234651	3.947499752	4.005779146
10238_at	5.006608486	4.878371981	4.976228483
10239_at	4.784519239	4.939369216	4.76879572
10240_at	5.361456421	5.372877829	5.332005672
10241_at	5.269645878	5.135510793	4.817888751
10242_at	6.747413663	6.463342544	6.333840234
10243_at	4.754902696	4.633248719	4.413208976
10244_at	5.261382182	5.270155532	5.908459829
10245_at	7.540579502	7.139822005	7.264755028
10246_at	5.801043814	5.679165991	5.30750022
10247_at	5.366495046	4.890483052	4.726268966
10248_at	4.629121256	4.713758185	4.697014639
10249_at	6.079821085	5.994047897	5.744160594
1025_at	4.334210927	3.933150323	4.279275739
10250_at	4.658364426	5.010635062	4.607038161
10252_at	5.464137295	5.681096183	5.716754983
10253_at	3.767558117	3.777709634	4.048505258
10254_at	4.421555116	4.591245146	4.857222287
10255_at	5.508652187	5.685002863	5.813962055
10256_at	5.803822937	5.922450349	5.528422924
10257_at	5.279417858	5.19057978	4.930504467
1026_at	5.406889305	5.607034747	5.731049615
10261_at	4.725436484	4.324864776	4.34859556
10262_at	5.951762201	5.813841332	5.6521421
10263_at	5.947041825	5.694264954	5.832795997
10265_at	6.396692068	6.622703554	6.511987771
10266_at	4.553201554	4.500938851	4.273144158
10267_at	5.723709202	5.135130869	5.162907003
10268_at	5.699203641	5.787210643	5.835090622
10269_at	3.525173534	3.420786283	3.626124374
1027_at	5.452395795	5.659264588	5.398030832
10270_at	5.671184724	5.824386625	5.618157704
10272_at	4.098033329	4.193639309	3.953462863
10273_at	4.898458735	4.949411047	5.06305565
10274_at	5.666640449	5.610854394	5.634619438
10276_at	5.948221945	5.928830166	5.854295562
10277_at	6.442496828	6.42345139	6.18705262
10278_at	3.766221981	3.78534822	3.867583356
10279_at	6.85954647	7.160905034	7.127768046
1028_at	5.507580531	5.614002524	5.356885851
10280_at	4.046674386	4.262629235	4.153374779
10281_at	6.660413963	7.062843254	6.412887721
10282_at	4.693339636	4.835054002	4.496017428
10284_at	5.747159353	5.789172969	5.80164757
10285_at	4.867829799	4.818500648	5.174984714
10286_at	6.486613192	6.303392299	6.174697269
10287_at	6.359636204	5.860014463	6.219656912
10288_at	5.297178291	4.932111095	5.593007778
10289_at	5.075093266	4.797417106	4.817157585
1029_at	4.550786838	4.582013006	4.505889175
10291_at	5.44989648	5.400330512	5.161188685
10293_at	7.38701673	7.344095402	7.11837762
10294_at	5.678571822	5.988864404	5.983137467
10295_at	6.253755094	6.157516432	5.916079129
10296_at	4.300436364	4.393085672	4.404737874
10297_at	5.228640609	5.26079707	5.052414992
10298_at	5.232080663	5.009245231	5.136621707
10299_at	5.607178938	5.550800656	5.477111077
103_at	5.838492461	6.216083405	5.899784649
1030_at	5.621039788	5.341382935	5.500702461
10300_at	5.974584273	6.225194581	5.816317762
10301_at	5.946710597	5.975612529	6.235736137
10302_at	8.277987424	8.35912188	8.035473934
10307_at	6.316474885	6.202691383	6.333060996
10308_at	7.3249787	7.329866798	7.148293666
10309_at	5.934066225	6.06487167	5.806601165
1031_at	5.800920002	5.821495819	5.731702669
10311_at	6.189237904	6.246580177	6.342012868
10312_at	6.555036973	6.04048169	6.156105591
10313_at	6.887931205	6.994325794	7.02720504
10314_at	6.458509293	6.79549597	6.305088803
10316_at	4.404926785	4.283304234	4.765064998
10317_at	5.140700732	5.169818033	4.680421804
10318_at	4.947035682	5.061092613	5.109811042
10319_at	6.667729373	7.007759176	6.548632121
1032_at	5.209926131	5.002015529	5.470431268
10320_at	5.45999723	5.174118093	5.362219123
10321_at	5.656162754	5.467664371	5.65096359
10322_at	6.714063723	6.915645888	7.338115829
10324_at	6.94130359	6.993725271	7.308565275
10325_at	3.228057931	3.607455569	3.624495817
10327_at	6.312441017	6.450075146	5.802358467
10328_at	6.350107778	6.295637021	5.745384211
10329_at	7.2715511	7.473611115	7.46571295
1033_at	6.200591636	5.774375599	6.372655816
10330_at	4.838747483	4.631069801	4.383082523
10331_at	6.145185967	6.300071934	6.059187498
10332_at	5.415901877	5.181183212	5.298785969
10333_at	4.713903946	5.131016733	4.752741811
10336_at	6.237255305	6.182131899	6.086971204
10342_at	7.02405007	6.867267736	7.149428434
10343_at	5.391240473	5.22196398	4.995183324
10346_at	5.967061712	5.943360595	5.578516248
10347_at	3.812693625	3.872260345	3.613319202
10351_at	4.250687121	4.122147403	4.173381654
10352_at	6.65949659	6.878874229	6.831259497
1036_at	6.577999506	6.224335149	6.201306926
10360_at	4.360644649	4.892529206	4.829152833
10362_at	7.39702196	7.617758368	6.899785407
10363_at	5.974148337	5.700222758	6.051377945
10365_at	4.114839456	4.150070656	3.805729828
10367_at	6.194166323	6.575985334	6.488379807
10368_at	6.716084216	6.718289761	6.564866034
10369_at	4.396880123	4.232310486	4.091729678
10370_at	4.439144996	4.504309085	4.341898798
10371_at	3.29490608	3.774704431	3.836354238
10376_at	3.139702289	3.044161344	3.016170878
10379_at	5.54975688	5.390355142	5.436199123
1038_at	5.043414729	5.325195147	5.33683141
10381_at	4.595261323	4.570462867	4.702614395
10382_at	5.917037036	5.846058461	5.694170947
10383_at	5.317805585	4.891682881	5.310761044
10384_at	4.651863166	4.532467826	4.473689638
10385_at	4.362675437	4.385965512	4.304070535
10388_at	7.181025154	6.87007029	6.753937214
10389_at	7.594114286	7.405699997	7.060523416
1039_at	4.076324153	4.035021486	4.013549543
10390_at	6.647097123	6.344041057	6.598147357
10391_at	5.072363165	5.292212523	4.994962782
103910_at	6.783552393	6.452982269	6.483253059
10392_at	3.796008	4.060364493	3.752162974
10393_at	5.535148523	5.468456846	5.66087186
10394_at	5.269814304	5.194738631	5.442250454
10395_at	4.827537245	4.827269841	4.562106687
10396_at	6.285778163	6.34122543	6.318525345
10397_at	5.364693524	5.374284159	4.97656973
10398_at	6.195392058	6.352012049	6.140177817
10399_at	5.200100246	4.837545599	5.261411946
104_at	5.387028269	5.328917051	5.170282524
1040_at	6.492989733	6.62344235	6.748958304
10400_at	5.096717262	4.923000361	4.842181521
10401_at	5.186277403	5.547902798	5.470588523
10402_at	5.552838687	5.503152689	5.37583993
10403_at	3.570864871	3.366035013	3.981289466
10404_at	6.205317333	5.986403751	6.114224068
10406_at	6.351469748	5.915610041	6.207661317
10407_at	5.452561394	5.635091684	6.013394175
10409_at	4.162126308	4.255834898	4.538532704
1041_at	6.935936338	7.020957691	6.974070114
10411_at	4.991450787	4.743966274	5.137069031
10413_at	5.787357501	5.88672321	5.951070584
10417_at	4.247329157	4.286505238	4.106990784
10418_at	5.750043079	5.584449824	5.640729778
10419_at	3.870470222	3.986742559	3.458490189
10420_at	4.545706514	4.168287832	4.138520882
10421_at	7.477372371	7.440889847	7.337736601
10422_at	6.539186007	6.493949442	6.229863126
10423_at	6.455230162	6.196341169	6.407178831
10424_at	4.797637036	4.622235254	4.358403046
10425_at	4.800741179	4.674492592	4.76948147
10426_at	4.627455786	4.480647569	4.696021397
10427_at	3.056832169	3.339983238	3.383098084
10428_at	5.691279614	5.626214597	5.787765478
1043_at	4.756150141	4.634303317	4.536573144
10430_at	4.885926853	4.403966753	5.124370021
10431_at	5.348074941	5.542031875	5.380015364
10432_at	5.464768327	4.825321143	4.67451106
10434_at	7.595438389	7.306233599	6.868764411
10435_at	6.952429563	6.567135336	6.664467861
10436_at	5.669644648	5.790459196	5.528830621
10437_at	5.897717749	5.845255226	5.560233128
10438_at	3.907509935	4.286336872	3.239588121
10439_at	6.354395511	6.629201909	6.288708063
1044_at	6.026006393	5.895157237	5.985364289
10440_at	5.084158201	5.205585407	5.137880343
10443_at	4.325811787	4.227653558	4.405454356
10444_at	6.699618127	6.764518675	6.606599323
10445_at	5.449869325	5.451235877	4.753170457
10446_at	5.641832533	5.585775141	5.372863971
10449_at	4.33832276	4.149145829	4.145297885
1045_at	7.280378339	7.549733127	7.268691421
10450_at	5.42732225	5.329411305	5.262333058
10451_at	5.233214485	5.339109349	5.166525287
10454_at	5.047242997	4.958507095	4.760593467
10455_at	4.447473565	4.355044303	3.964452319
10456_at	6.8227123	7.118943826	6.93526987
10457_at	3.689639367	4.05738158	3.613265629
10458_at	5.667026602	5.581288975	5.213311117
1046_at	5.00655516	5.380244123	5.059128583
10460_at	4.169312316	4.047909938	3.84678639
10461_at	5.514078768	5.553267302	5.449106304
10462_at	5.390165435	5.739948388	5.678484754
10463_at	4.57309607	4.464111887	4.353357644
10464_at	5.362916882	5.457218772	5.143278572
10465_at	7.319920442	6.675327925	6.976045033
10466_at	6.790107922	6.655456748	6.762221295
10467_at	2.864210409	3.051415386	3.062622687
10468_at	6.57161215	6.334656022	6.325692692
10469_at	3.959832891	4.165329765	3.825063583
1047_at	6.362799659	6.455043086	6.465606383
10471_at	7.544421699	7.793688661	7.779934065
10472_at	4.96426262	4.963340905	4.79490914
10473_at	5.315307303	5.372594824	5.023581763
10474_at	5.91500485	5.756581538	5.484974906
10475_at	5.512770851	5.583193741	5.495699174
10478_at	6.345372802	6.335637981	6.015354683
10479_at	6.405294874	6.301472497	6.1741161
1048_at	6.038156466	5.708680631	5.77862659
10480_at	3.343961964	3.774475761	3.419980044
10481_at	6.590440988	7.327380798	6.509444247
10482_at	4.572265579	4.616263573	4.923558858
10483_at	6.913227961	6.790060701	6.571888565
10484_at	5.775036518	5.964891075	5.872673218
10485_at	5.973785497	6.258395179	5.895775365
10486_at	5.333496785	5.45272576	5.315869761
10487_at	6.476739207	6.431000421	6.254229991
10488_at	6.261270757	6.334889895	6.202621133
10489_at	6.677913833	6.67673632	6.535706907
10490_at	4.684283936	4.86619043	4.478860327
10491_at	4.441981989	4.537595277	4.317589337
10492_at	4.293327248	4.387592458	4.298756298
10493_at	6.445203431	6.787348365	6.411980945
10494_at	5.905383252	5.941294329	6.102556908
10495_at	6.2895768	6.346578819	6.308769754
10497_at	4.217430228	4.23150413	4.414252195
10498_at	8.544704385	8.394389928	8.421069133
10499_at	6.050356605	5.989851324	6.100381848
105_at	5.285844927	5.497361653	5.191306314
1050_at	6.958119499	6.646333374	6.33544601
10500_at	6.558705546	6.492248075	6.388945163
10501_at	5.792485078	5.889908048	5.715866477
10505_at	4.225324917	4.063831128	4.003752057
10507_at	4.613650113	4.771690366	4.424388691
1051_at	4.28119741	4.135580596	3.991212084
10512_at	4.641040567	4.685343047	4.919081984
10513_at	6.207890736	6.35728945	6.177887786
10514_at	5.690762046	6.0773628	5.698710247
10516_at	4.583903998	4.770743911	4.688767548
10518_at	3.959619295	3.895008127	4.03156801
10519_at	6.980400104	7.184324901	6.975987111
1052_at	4.890752174	4.766592211	4.986869204
10520_at	3.618454914	3.632292721	3.558685349
10521_at	5.620296523	5.662064105	5.514181117
10522_at	7.268842209	7.032024434	6.968108962
10523_at	6.805746775	7.166363829	6.940206535
10524_at	5.263544059	5.316006338	5.371606978
10525_at	4.869892189	5.192379041	5.25231485
10526_at	6.295279843	6.547288768	6.160627014
10528_at	7.467544636	7.147550046	6.988914188
10529_at	6.561447565	6.75970731	6.611086256
1053_at	5.673342359	5.514342316	6.02861587
10531_at	5.200344831	5.234216927	5.293481862
10533_at	3.641663401	3.535365272	3.610257202
10534_at	5.849944502	5.6770373	6.032052858
10535_at	4.21609589	4.968725557	4.682152328
10536_at	5.256861249	5.814275011	5.95533435
10537_at	6.167353989	5.954086831	6.216869424
10538_at	3.966725857	3.824516907	3.921780137
10539_at	8.528028867	8.718724529	8.531135958
1054_at	5.217546535	5.05097723	5.282187116
10540_at	5.416000583	5.228856391	5.758934182

