GeneID	Patient4	Patient5	Patient6	Patient7	Patient8	Patient9	Patient10	Patient11	Patient12
10370_at	4.333367906	4.440296769	4.452201565	4.007399855	4.389416923	4.341637478	4.388221012	4.481891847	4.227441398
10347_at	3.829011418	3.7117765	3.75526693	4.023043677	3.840652481	3.672780703	3.879516229	3.678529562	3.902111095
10420_at	4.016671334	3.906526006	4.319381366	4.023397389	4.316185454	4.153401662	4.172480731	4.102267624	4.146525116
1020_at	3.554179399	3.670490775	3.704221614	4.087062249	3.700238526	3.773037727	3.500667486	3.902367766	4.017740643
1051_at	4.0779991	4.238425267	4.727220726	4.14116681	4.430351518	4.178843464	4.309926379	4.146832078	4.081257344
101_at	4.214557898	4.444963321	4.270194944	4.149806069	4.168927867	4.30414335	4.334573183	4.325074356	4.239468861
10460_at	3.987633542	3.799577254	3.651894911	4.154661982	4.092136622	3.706856074	4.024492931	3.734696469	3.915813896
10351_at	4.23174114	4.431901062	4.053457107	4.156623569	4.294275729	4.114839456	4.45862501	4.471586235	4.272738599
100129503_at	4.000369826	4.163303171	3.537536872	4.163722263	4.327250381	4.513893085	4.119500911	4.211598177	3.869582877
100130449_at	4.001780863	4.219164684	3.721334132	4.167409294	3.820388383	3.792717007	3.958479926	3.770933326	3.588728063
1039_at	4.261387126	4.071779484	4.007972045	4.168402851	3.992029112	4.180627432	4.125312834	3.759127652	4.004522037
1012_at	5.189599545	4.991865596	4.575349059	4.178200141	5.22352011	4.935454219	5.010810817	5.022505392	5.161363387
10280_at	4.122659814	4.362805722	3.971751419	4.195155555	4.136104999	4.240251703	4.241773201	4.248521006	4.167765301
10469_at	4.153023198	4.146108229	4.000768977	4.196555576	3.822660318	4.047454357	4.006550607	4.090386906	4.000768977
10385_at	4.447780476	4.792311711	4.542534318	4.20698534	4.452559705	4.424013902	4.465687648	4.500781506	4.46454471
10365_at	4.05169797	3.738273562	4.163626902	4.213883258	3.852414072	3.777597152	4.17386648	4.195475225	3.810129935
10463_at	4.467592046	4.694851161	4.352433961	4.246579657	4.417067388	4.334979442	4.250007357	4.346234801	4.522419876
10538_at	3.980577989	3.746362991	3.853399746	4.251918724	3.693840736	3.731990958	3.71814613	3.950910329	3.746609622
10296_at	4.660143289	4.449938657	4.476300627	4.281976285	4.486519059	4.552537852	4.505215986	4.540066791	4.566672909
10505_at	4.112511574	4.157771289	4.28189648	4.286835888	4.201394163	4.173288901	4.015100646	4.188633239	4.181338477
10200_at	4.180773433	4.471412245	4.566412567	4.294986489	4.334487174	4.481527506	4.281065456	4.478730922	4.185642599
10535_at	4.266430953	4.815873698	4.219545975	4.296156097	4.624287602	4.236148082	4.588740682	4.392853424	4.675871681
100131613_at	4.535225607	5.051586017	4.259988459	4.298200889	4.011630688	4.046235363	4.003860385	4.45827158	4.469755059
100129686_at	4.485969852	3.727231929	4.081292654	4.310764495	3.744550158	4.275445337	3.97483449	4.113888412	3.927141741
102_at	4.37988226	4.257506254	4.255225451	4.311998379	4.458277896	4.381142704	4.465407281	4.51482567	4.191615314
10455_at	4.13658498	4.213708144	4.347456874	4.325464498	4.746307024	4.422306577	4.961200836	4.589250802	4.167894071
100130544_at	4.152954986	4.810413568	5.191959402	4.327892064	4.434499498	4.344935127	4.573310714	4.945091128	4.503051855
10518_at	4.28376332	4.022594574	4.274077444	4.354521727	3.93106984	4.055813322	3.987159382	4.051112612	3.939331317
10417_at	4.44033214	4.396081072	4.177268794	4.362816497	4.267160171	4.218443654	4.310538625	4.447215323	4.414908283
10497_at	4.510037994	4.375978273	4.205520704	4.365962511	4.303459715	4.353674813	4.444473082	4.668702717	4.439774458
10369_at	4.095600583	4.278488375	4.09585812	4.367417856	3.955712364	4.212918824	4.245065962	4.182885691	4.318379467
10162_at	4.47227402	4.251038735	4.136097788	4.392541892	4.145674451	4.329069384	3.93120022	4.333230233	4.217427521
10026_at	4.079843376	4.130150358	4.332607341	4.410205596	3.667466914	3.776303908	3.861656901	3.639171434	3.851854762
10018_at	4.388491183	4.447466225	4.556088617	4.41588557	4.359029199	4.751913512	4.614379288	4.652639733	4.681142185
10282_at	4.413631428	4.268047813	4.146775278	4.421017444	4.382344045	4.668233098	4.517265831	4.155107634	4.043761432
10209_at	4.749457978	4.552722691	4.509971501	4.423935725	4.540630315	4.500460514	4.517989581	4.560122222	4.501265261
10005_at	4.622088807	4.563052612	4.800480673	4.42525536	4.668702717	4.547779133	4.63085463	4.960582362	4.715281134
10047_at	4.425817343	4.523891465	4.335088973	4.435268433	3.984022387	4.132363244	4.188617063	4.03558216	4.479571615
10248_at	4.737802356	4.796628805	4.835671854	4.443086041	4.990890448	4.832109719	4.610451411	4.501327905	4.761177228
10168_at	4.810010222	4.662315668	4.559421439	4.446726706	4.694344171	4.599362497	4.65418373	4.619137148	4.55020917
10330_at	4.662432286	4.675826525	4.881790889	4.450196878	4.601285412	4.674616383	4.784141958	4.695341271	4.751417504
10409_at	4.302155908	4.25514415	4.430782067	4.452857733	4.418737474	4.729668885	4.44607584	4.670529321	4.301248677
10234_at	4.43918996	4.605539248	4.715435759	4.454864244	4.618534913	4.849462639	4.545861517	4.487836861	4.46992564
10384_at	4.904170711	4.659457266	4.626799904	4.459389214	4.461069793	4.484518936	4.608695935	4.435049941	4.815594802
10492_at	4.366626186	4.389899732	4.347279533	4.461625451	4.386548388	4.327665186	4.326831754	4.157547826	4.341313093
10211_at	4.780217155	4.83503281	4.630163515	4.466878706	4.480237063	4.75817629	4.486691204	4.710249619	4.69130759
1029_at	4.743676862	4.810539897	4.819917133	4.468381146	4.65559573	4.482005338	4.680714239	4.587775486	4.839840291
10507_at	4.446362288	4.399464635	4.563287666	4.475151213	4.250691056	4.369655048	3.951497755	4.615045078	4.387525779
10157_at	4.588612999	4.264227945	4.547884543	4.482970752	4.759586683	5.181812894	4.49391286	4.780484741	4.81539329
10221_at	4.725839031	4.663734221	4.83861096	4.491601596	4.371152582	4.398343903	4.554318775	4.549421369	4.306041137
10129_at	4.689941866	4.510437413	4.574638987	4.499289818	4.365179923	4.435764231	4.416842578	4.442907418	4.415986346
10482_at	4.803060159	5.113094005	4.881043008	4.505792523	5.039375459	4.706130953	4.941167958	4.721315724	4.99552784
10490_at	4.393140286	4.794116981	4.583910436	4.52015421	4.472895135	4.313007174	4.521796033	4.761915386	4.477920545
10098_at	4.535225607	4.527327636	4.521565699	4.525754957	4.46341277	4.371314701	4.339917825	4.668612422	4.433884055
10112_at	3.890014425	4.377424278	4.008106354	4.543032962	4.355365522	4.293182516	3.985139448	4.152432016	4.160563804
10285_at	4.640592987	4.61871171	4.684606385	4.544367523	4.909429719	4.730543448	4.592737439	4.913719638	4.853604151
10454_at	5.035924742	4.980074066	4.727440665	4.547547472	5.452151067	5.114233998	5.106194678	4.394637352	4.688607387
10050_at	5.338216598	4.862257121	5.059843194	4.562979601	4.777671745	5.084510854	5.11100125	4.868416021	5.284546955
10491_at	4.261541425	4.543021081	4.790571871	4.566752191	4.40714912	4.313473867	4.542848571	4.568540432	4.470854276
10360_at	4.480121713	4.588409984	4.987614432	4.568772837	4.938047505	4.851967173	4.756078218	5.287762602	4.625732086
10426_at	4.468413659	4.761906672	4.338655857	4.573004635	4.494785318	4.616783488	4.518354158	4.317091431	4.617662536
10095_at	4.970882508	4.755927449	4.798301663	4.573415745	4.779770032	4.798937893	4.661916215	4.933372784	5.028306506
10213_at	4.527442294	3.956330141	4.293711303	4.573415745	4.606324384	4.727521875	4.174128366	4.212929862	4.224614419
10243_at	4.436652895	4.574547602	4.637096822	4.576239998	4.573235065	4.51113632	4.4833548	4.447074519	4.558442509
1025_at	4.614803695	4.061241869	4.446365674	4.584648186	4.165054258	4.038913729	4.195068812	4.083798724	4.342192744
10425_at	4.531106259	4.65783879	4.776076675	4.587263527	4.67215312	4.605126279	4.679294151	4.557013032	4.720785658
100133276_at	4.777493768	4.645827889	4.562384262	4.588497383	5.22196398	4.757698791	4.690499695	4.59259255	4.668890821
1004_at	4.698609915	4.503266732	4.631845389	4.602136982	4.703400757	4.58240439	4.58240439	4.595164553	4.583239601
100130703_at	4.252655424	4.817495679	4.819134054	4.627432921	4.533751343	4.927584529	4.945310734	4.520525833	5.394900953
10438_at	3.715235038	4.202300911	3.1937642	4.628242667	3.515532641	3.756725659	3.562393772	4.288369532	4.433047129
10316_at	4.518457865	4.705782324	4.858111254	4.640647628	4.891261293	5.184797298	4.596442558	4.571479347	4.598092229
10203_at	4.855574556	5.019715654	4.948794176	4.640918399	4.432455968	4.911136288	4.725099654	4.69096493	4.747813425
10250_at	4.418267129	4.351888574	4.639336342	4.643447103	4.59007381	4.54544495	4.910536852	4.467280018	4.406301224
10525_at	5.161652859	4.760918393	4.862108279	4.648301506	4.895830025	5.014866151	5.157617455	4.891032992	4.704851955
10395_at	4.68817903	4.820131103	4.895100135	4.652004436	4.659997185	4.802087686	4.877161254	4.750832579	4.818627641
10266_at	4.692335843	4.443554473	4.323041422	4.663570701	4.289582162	4.147404516	4.459623129	4.688947345	4.627995608
100129762_at	4.517001126	4.67022312	4.649123106	4.681969844	4.540217857	4.788193967	4.697769638	4.767882275	4.669318506
10036_at	4.861783353	4.848578698	4.938346986	4.686883256	4.836557542	4.810017359	4.748798877	4.912798991	4.704121731
10261_at	4.747620419	4.414372699	4.712806549	4.701783647	4.608430525	4.472846423	4.435485865	4.672642633	4.572981061
100_at	4.700009468	4.793152454	4.623869568	4.705423765	4.728205791	4.854952752	4.850721896	4.940739351	4.703800075
10254_at	4.405765219	4.540163922	4.699709073	4.718825623	4.454185606	4.558200362	4.764574276	4.667779412	4.567223587
1043_at	4.699609795	4.725276136	4.735657056	4.729934993	4.580327468	4.717702718	4.577045883	4.674315823	4.796128295
100129624_at	5.161306362	5.275477088	5.574360657	4.737744033	5.296523195	5.269051556	5.366044673	5.200435674	5.146115777
10133_at	4.667873023	4.622838237	4.579546434	4.761451198	4.614515869	4.606542555	4.599440958	4.565624347	4.437934973
10443_at	4.537981546	4.531819216	4.179905964	4.768502867	4.417090591	4.271166995	4.324200748	4.273382385	4.297004072
10238_at	4.926142705	5.16810221	4.982454661	4.787262164	5.050422526	4.958529103	4.941023946	5.105399407	4.993671966
100130464_at	4.305265844	4.650992107	5.144288446	4.791748821	4.494436679	5.003660104	4.945408798	4.599397998	5.313002661
10430_at	4.89107177	4.808467372	4.65335484	4.795685338	4.891607684	4.924985843	4.953160972	4.795685338	4.598777386
100132323_at	4.857683774	4.790135252	5.00478097	4.813952718	4.91373381	4.908998608	4.505382075	5.256317575	4.62636225
10061_at	4.944063437	4.936196007	4.911543708	4.817114677	4.980546362	4.928764964	4.8913924	4.980368665	5.099220655
1052_at	4.827190251	4.978559528	5.034253251	4.822732889	4.969154627	5.213762478	4.914423463	5.014998595	4.995010639
10432_at	4.539046408	5.306198158	5.163240557	4.831818134	5.118590549	5.101677516	5.33023585	5.131876386	5.226764983
10317_at	4.93076232	4.986296894	4.869794918	4.831850908	4.934152479	5.019066456	5.061341927	4.685444262	4.818502294
10170_at	4.214075773	4.465444003	4.3049546	4.842311358	4.410595172	4.054798168	4.244932892	4.058902954	4.300513534
10049_at	5.179898968	4.912172479	5.007913799	4.847908683	4.675775839	4.755820674	4.846995548	4.948985208	5.115374885
1038_at	5.33466215	5.354284169	4.950012533	4.85325912	5.022381154	5.158020072	5.219549813	5.278600232	5.396380723
10333_at	5.048749344	4.976763009	5.087438769	4.854705603	5.376976141	5.048393324	5.075551605	5.125803702	5.026370806
100132833_at	4.833415362	5.245899383	4.741581244	4.859086543	5.714944347	5.491380025	5.21619221	5.323015763	5.231057584
10210_at	4.079843376	4.568363808	4.165074788	4.866037914	3.903210479	4.04568704	3.898933336	4.291355092	4.507786211
1019_at	5.184496994	5.134931463	5.19305156	4.876578589	5.151967462	5.165765616	4.922577544	4.785034735	4.960316576
100130291_at	5.47924536	6.134025534	6.098197869	4.905736351	6.196978813	6.006047466	5.923663989	5.649106228	5.947134608
10512_at	4.711395709	4.575217836	4.663837552	4.912050684	4.616727496	4.573709035	4.712912134	4.772570067	4.794254567
100129361_at	4.989664111	4.871842446	4.735476452	4.923194425	4.821233884	4.465696215	4.777101266	4.870807127	4.533018177
10230_at	5.139603649	4.901835472	4.978028958	4.927925084	5.007971725	5.143949975	5.082351919	5.146359708	5.542456383
10072_at	4.728358295	5.006292237	5.500266581	4.933049897	4.832033442	5.096341626	5.213367115	5.52319267	5.199908758
100130134_at	4.598838336	4.61570157	4.69526609	4.943360766	4.757574921	4.538299672	4.706494931	5.181775887	4.650631741
10202_at	5.227698629	4.787382679	4.945411254	4.945349	4.986127731	4.911534185	5.184813218	5.091814987	4.894702969
1015_at	5.032425089	5.012808957	5.12820689	4.946095798	5.189286626	5.18742635	5.289140198	5.300529169	4.93491905
10239_at	5.079405885	4.646915309	4.878525207	4.955115773	4.785245228	4.744112879	4.706464149	4.707050206	4.927532599
10013_at	4.699727036	4.61044066	4.881263179	4.955755575	5.021973961	4.876482113	4.77162868	4.967584345	4.871755892
10431_at	5.336767374	5.272874906	5.354448114	4.957088012	5.331799581	5.041767939	5.047754739	5.366362991	5.215118684
10134_at	4.947812421	4.600343032	5.126619719	4.965016357	5.006772398	5.157844981	4.946485434	4.65866454	5.093307352
10394_at	5.78364004	5.400482149	5.471378296	4.970650671	5.411696178	5.367006959	5.278612777	5.419417809	5.251524206
10343_at	5.228701455	5.427714547	4.986211584	4.980470001	5.342870048	5.139363876	4.921054868	5.352194276	5.221711592
10399_at	5.181604969	4.957729695	5.09541143	5.00250036	5.122636102	4.852994927	5.130932088	5.119260317	5.235246923
10078_at	5.114794557	5.471537802	5.326632517	5.005129533	5.22196398	5.382646998	5.375481066	5.382188613	5.281799332
10516_at	5.198287114	4.726929067	4.706197679	5.027294677	4.663722706	4.835723523	4.736262867	4.887058701	4.823416531
10383_at	4.871326322	5.351615222	5.337552556	5.045935361	5.538166011	5.16889737	5.546321557	5.209251453	5.507750651
10424_at	5.130098769	4.562921776	4.972173151	5.053347845	4.813865269	4.990915176	4.950175704	5.108900087	4.85493975
10381_at	5.016406121	4.630082364	4.546495255	5.055584121	5.039622929	4.794717682	4.607175275	4.308719009	4.407707382
10241_at	5.410420974	5.064154162	5.335065811	5.056190319	5.186571871	5.055140876	5.096513765	5.160609303	5.096513765
10220_at	4.791374468	4.816540448	5.124332021	5.062140895	5.150047622	4.823493927	5.133359528	4.817748018	4.9924664
10149_at	5.251288461	5.186264231	4.856994179	5.063652214	4.687080912	5.115240199	4.826314605	4.955662393	4.803060159
100129482_at	5.613020796	5.283649583	5.341026559	5.076521287	5.135899675	5.410239861	5.59578734	5.379959428	5.196982641
10244_at	5.242136988	5.36862694	5.327590069	5.077638606	5.127881763	5.401039093	5.130925396	5.378160468	5.244278507
1027_at	5.50981868	5.300161451	5.289148372	5.10499605	5.331778746	5.544913934	5.118758196	5.286849812	5.739780221
10289_at	4.738793884	5.060469039	4.68369893	5.105797477	4.533126322	4.797484838	4.660664432	4.931058484	4.728944436
10440_at	5.034756903	4.99064468	5.059395442	5.112931109	4.995281951	5.138276354	5.143644951	5.096702719	5.27534183
10226_at	5.186389841	5.312032872	4.959991802	5.112973219	5.162015045	4.971035024	5.249599479	5.193312415	5.173323042
10142_at	5.290634291	5.433531952	5.320963171	5.113706953	5.263654128	5.454487819	5.538222675	5.469670825	5.49238197
10524_at	5.286296916	5.179092954	5.370386812	5.116686736	5.118494345	5.236058212	5.046650746	5.101779874	5.309271742
10140_at	4.68531555	4.913099337	4.738367357	5.122297728	5.093118555	4.862982464	5.306932325	4.669946833	4.772970457
10393_at	5.484673239	5.25697293	5.501994034	5.126798809	5.614061185	5.418696478	5.381725092	5.305256808	5.308682513
100130633_at	5.146555201	5.080557941	5.46752478	5.127011423	5.160984617	5.214925144	5.104728693	5.11938492	4.754992985
10451_at	4.964314923	5.29266638	5.454897201	5.128650183	5.166656861	5.492785575	5.478529382	5.180283392	5.134156065
105_at	5.285947741	5.390994751	4.9985242	5.140843463	5.043364692	5.263119384	4.974323559	5.499289183	5.523029738
10401_at	5.505588822	5.368083808	5.159008372	5.148049908	5.429055089	5.47506761	5.153373935	5.282322952	5.337279261
10472_at	5.190661114	5.105579952	5.106841134	5.162737027	4.900758984	4.895006179	4.812808627	4.929613327	5.099558926
10298_at	5.205937937	5.191163095	5.174708187	5.163160819	4.905208687	5.066861873	5.162695437	5.196903719	5.157520401
1028_at	5.207132828	5.491268769	5.412978129	5.171794893	5.274523018	5.571246877	5.418310777	5.657968777	5.370637711
10014_at	5.016290111	5.115758284	5.134440207	5.176231223	5.133071476	5.117504685	5.265830063	4.921500903	5.251650355
1005_at	5.483765938	5.218747376	5.364911966	5.180132988	5.071074056	4.739234683	5.374177017	5.210127978	5.207332153
10400_at	5.661415962	5.398246907	5.06808391	5.19508187	5.210834834	4.95163693	5.362691795	4.992146366	5.092705401
10084_at	5.10478356	4.969338066	5.009156863	5.195373833	4.960329447	4.980309549	5.032764049	5.139232038	5.010521382
10077_at	5.21458692	4.582838277	4.896580362	5.195526952	5.030068466	4.770855533	4.828791744	4.746655536	5.131104256
10257_at	5.29146116	5.421456307	5.208794537	5.201056995	5.048395908	5.232497112	4.997324286	5.151183366	5.024222357
10090_at	5.235974294	4.950398714	5.097541373	5.204383111	5.034564594	5.108224487	5.10044951	4.974543423	5.050137948
10196_at	5.498369586	5.218637523	4.872818682	5.206145952	5.236635883	5.145750449	5.236635883	5.335129196	5.142516559
1046_at	5.192456369	4.901846435	4.770869498	5.21191027	5.036150912	5.394109745	5.320935562	4.919456538	5.139608755
10445_at	5.405040799	5.330912692	5.209251453	5.217037612	5.350453003	5.476157783	5.156257986	5.554586156	5.13356855
100129500_at	5.198737551	5.24495685	5.429154521	5.22074939	5.199221505	5.310937028	5.394701557	5.328419247	5.270125738
10175_at	5.23449708	5.690917534	5.267349458	5.2256283	5.514487114	5.419232011	5.214647262	5.236173787	5.171817018
10131_at	5.322434802	5.792834681	5.697219526	5.242276531	5.457159618	5.05510648	5.317613502	5.271547437	5.593846319
100127972_at	5.587465329	5.744046822	5.048180867	5.245931677	5.4429325	5.576416994	5.525559706	5.094615691	5.481277304
1054_at	5.274979979	5.180044679	5.160963914	5.252321707	5.168409425	5.153426434	5.41019855	5.39356002	5.038190146
10486_at	5.536035427	5.460633732	5.735591614	5.271385739	5.535186118	5.491785342	5.323469387	5.621586326	5.450026693
10297_at	5.305167825	5.109347848	5.096707994	5.274892936	5.247742107	5.251104186	5.354313229	5.398596258	5.239770389
10379_at	5.427609732	5.572740289	5.581080328	5.276254299	5.442593636	5.696849849	5.586580406	5.623069418	5.430267906
100130100_at	4.67827611	5.128593959	4.974280549	5.284059654	4.765571309	4.901242014	4.736797873	4.828985951	5.107052033
10318_at	5.387623826	5.269709043	5.178167867	5.288859227	4.779089507	4.787326824	5.063859223	5.007218939	5.14619552
10219_at	5.759855831	5.432042995	5.53832376	5.297253392	5.611869253	5.446655437	5.625943958	5.752471752	5.570600069
10464_at	5.255320702	5.609257604	5.321051473	5.297456022	4.992903625	5.145231392	5.349775288	5.150349653	5.179696296
10075_at	5.120498857	5.111800133	5.339968675	5.299183131	4.985332027	5.229127343	5.237691234	5.247992857	5.168399237
10051_at	5.241925742	5.125462953	5.221869066	5.3006619	4.918860442	4.924160292	4.958519754	4.998770718	5.150541972
10197_at	5.297916746	5.223820234	5.185628194	5.312150192	5.184596116	5.292111203	5.269946314	5.243439098	5.247089061
10332_at	5.139209605	5.204173013	5.54068454	5.317430079	5.390927455	5.36401092	5.622086646	5.321466439	5.02398137
1032_at	5.209881575	4.839198715	4.977962689	5.317674533	5.120385118	4.930138173	4.820279175	5.111726158	5.145482189
10240_at	5.510950315	5.322947683	5.270091473	5.327520888	5.351091542	5.047240657	5.367423307	5.352846356	5.178822668
10150_at	5.36375839	5.464610848	5.085946988	5.343898749	5.104057418	5.324130689	5.313878944	5.179724698	5.265584669
1018_at	5.042206378	5.390720836	5.151012382	5.345791473	5.288853181	5.241849018	5.452951661	5.122602351	5.316311625
1001_at	5.371968346	5.63586749	5.377653664	5.358447293	5.428040481	5.207414364	5.576646159	5.278404771	5.388693675
10531_at	5.617503098	5.670024289	5.410111182	5.360398458	5.686614855	5.307157136	5.25039065	5.536849673	5.043389128
10128_at	5.292514752	5.585929815	5.305937965	5.381096168	5.499344722	5.501790726	5.53760674	5.371962729	5.454529384
10397_at	5.018631583	5.321996627	4.798301663	5.396969956	5.302970396	5.454620151	5.480444262	5.233205914	5.239011928
1006_at	5.417985357	5.644574902	4.991089686	5.396993646	5.120704554	5.577778501	5.313816179	5.429842205	5.450587557
10450_at	5.216101465	5.446583475	5.066542225	5.398075959	5.046157245	5.304824108	5.27124978	5.051171173	5.366369463
10228_at	5.490989628	5.562188887	5.484722456	5.409319259	5.470000286	5.373746241	5.484469494	5.556483584	5.356889552
10320_at	5.282566173	5.629619447	5.379510329	5.414855131	5.362161322	5.36096805	5.193678323	5.290101792	5.204495411
10057_at	5.754721679	5.402783577	5.723684179	5.417911266	5.234475458	5.756462192	5.547393124	5.649891925	5.639147275
10473_at	5.222341296	5.218091193	4.959947272	5.432125218	5.28338938	5.228465366	5.284038511	5.159976407	5.222321693
10247_at	4.936435489	5.017756425	4.684064669	5.433619544	4.876605247	4.577285595	4.917249334	4.893339685	5.246394429
10411_at	4.91425736	4.627250262	4.596436155	5.436196167	4.905332642	4.738587084	5.155877597	4.495460921	4.345893766
1030_at	4.948441966	4.933644714	5.502537175	5.436261072	5.336101487	5.352423403	5.037975204	5.171695872	5.533290005
10186_at	5.096488327	5.387915675	5.395788939	5.443452562	5.366709711	5.165800154	5.232537766	5.395788939	5.628991078
104_at	5.212654496	5.277789071	5.376812704	5.453341811	5.279830348	5.249571406	5.182741664	5.338925871	5.414712507
10458_at	5.64812195	5.530882391	5.562281581	5.462403315	5.503018753	5.502100281	5.434375393	5.559332863	5.429934294
10235_at	5.717165908	5.525488032	5.717743863	5.480849616	5.431815933	5.435636477	5.28231997	5.493054135	5.427855572
10246_at	5.452007072	5.48946231	5.44201233	5.500270781	5.258020755	5.534526892	5.485828129	5.501777214	5.4461475
10288_at	5.458804726	5.096149602	5.041582721	5.502342532	5.227788013	5.348346771	5.139321326	5.403314322	5.052286515
10179_at	5.291014359	5.342554809	5.28264365	5.52373327	5.434372446	5.2619836	5.086724321	5.24446396	4.919561041
100130348_at	5.191223963	5.67280474	5.371901096	5.526144695	5.340182197	5.647940489	5.280180924	5.604354524	5.623645284
10215_at	5.881705947	5.721554763	5.661818366	5.52821772	5.626813348	5.397035179	5.750841587	5.622626984	5.856223448
10_at	5.42505062	5.715586103	5.55081374	5.543698856	5.688898547	5.539305868	5.999191051	5.880362353	5.646034329
103_at	6.004786502	5.709706486	6.150186626	5.543894544	6.052662066	5.677692512	5.676091187	6.077499264	5.968966632
10109_at	5.313238754	5.558242873	5.643739017	5.548465906	5.49215294	5.681325537	5.40701593	5.714419304	5.559705771
10217_at	5.815294439	5.988459175	5.493126512	5.548809257	5.644012415	5.833582138	5.817047874	5.7084853	5.671228151
